python 5.py                                                                                                                   ✔  24m 56s   relational_reality 
>>> STARTING TOPOLOGICAL BIG BANG (v3.3.5)...
>> Relational Physics v3.3.5 | N=4444 | init edges=0
>> Expansion baseline λE_base=-44.000 | target <k>=7.00
  eq  33250/4444444 | <k>=0.26 | tri#=    17 | Re(loop)=0.223 | d=1 corr=0.103 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.10
  eq  33500/4444444 | <k>=0.26 | tri#=    17 | Re(loop)=0.218 | d=1 corr=0.099 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.23
  eq  33750/4444444 | <k>=0.26 | tri#=    17 | Re(loop)=0.265 | d=1 corr=0.125 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.15
  eq  34000/4444444 | <k>=0.26 | tri#=    17 | Re(loop)=0.289 | d=1 corr=0.100 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.14
  eq  34250/4444444 | <k>=0.26 | tri#=    17 | Re(loop)=0.345 | d=1 corr=0.139 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.20
  eq  34500/4444444 | <k>=0.26 | tri#=    17 | Re(loop)=0.374 | d=1 corr=0.120 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.14
  eq  34750/4444444 | <k>=0.27 | tri#=    17 | Re(loop)=0.373 | d=1 corr=0.171 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.15
  eq  35000/4444444 | <k>=0.27 | tri#=    17 | Re(loop)=0.369 | d=1 corr=0.054 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.14
  eq  35250/4444444 | <k>=0.27 | tri#=    19 | Re(loop)=0.176 | d=1 corr=0.137 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.25
  eq  35500/4444444 | <k>=0.27 | tri#=    20 | Re(loop)=0.209 | d=1 corr=0.095 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.04
  eq  35750/4444444 | <k>=0.27 | tri#=    20 | Re(loop)=0.207 | d=1 corr=0.102 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.21
  eq  36000/4444444 | <k>=0.27 | tri#=    20 | Re(loop)=0.137 | d=1 corr=0.126 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq  36250/4444444 | <k>=0.28 | tri#=    21 | Re(loop)=0.096 | d=1 corr=0.124 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.35
  eq  36500/4444444 | <k>=0.28 | tri#=    22 | Re(loop)=0.155 | d=1 corr=0.153 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq  36750/4444444 | <k>=0.28 | tri#=    22 | Re(loop)=0.204 | d=1 corr=0.094 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq  37000/4444444 | <k>=0.28 | tri#=    22 | Re(loop)=0.184 | d=1 corr=0.161 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.11
  eq  37250/4444444 | <k>=0.29 | tri#=    22 | Re(loop)=0.242 | d=1 corr=0.108 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.31
  eq  37500/4444444 | <k>=0.29 | tri#=    22 | Re(loop)=0.251 | d=1 corr=0.140 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq  37750/4444444 | <k>=0.29 | tri#=    22 | Re(loop)=0.261 | d=1 corr=0.145 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.16
  eq  38000/4444444 | <k>=0.29 | tri#=    23 | Re(loop)=0.251 | d=1 corr=0.174 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.17
  eq  38250/4444444 | <k>=0.30 | tri#=    24 | Re(loop)=0.266 | d=1 corr=0.083 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.22
  eq  38500/4444444 | <k>=0.30 | tri#=    24 | Re(loop)=0.230 | d=1 corr=0.112 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.06
  eq  38750/4444444 | <k>=0.30 | tri#=    26 | Re(loop)=0.196 | d=1 corr=0.092 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.21
  eq  39000/4444444 | <k>=0.30 | tri#=    28 | Re(loop)=0.118 | d=1 corr=0.105 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.14
  eq  39250/4444444 | <k>=0.30 | tri#=    28 | Re(loop)=0.099 | d=1 corr=0.029 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.24
  eq  39500/4444444 | <k>=0.31 | tri#=    29 | Re(loop)=0.082 | d=1 corr=0.095 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.15
  eq  39750/4444444 | <k>=0.31 | tri#=    29 | Re(loop)=0.110 | d=1 corr=0.107 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.11
  eq  40000/4444444 | <k>=0.31 | tri#=    30 | Re(loop)=0.143 | d=1 corr=0.083 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.22
  eq  40250/4444444 | <k>=0.31 | tri#=    31 | Re(loop)=0.119 | d=1 corr=0.097 | λE=-44.000 (Δ=+0.000) | acc(rew)=0.13
